Name	sR	sG	sB
PANTONE 10378 C	129	111	100
PANTONE 10379 C	120	100	88
PANTONE 10380 C	109	88	75
PANTONE 10381 C	96	75	62
PANTONE 10443 C	180	136	123
PANTONE 10444 C	152	120	116
PANTONE 10445 C	152	127	121
PANTONE 10446 C	154	137	134
PANTONE 10447 C	139	126	126
PANTONE 10448 C	150	143	142
PANTONE 10382 C	149	144	146
PANTONE 10383 C	132	125	128
PANTONE 10384 C	118	109	111
PANTONE 10385 C	103	94	96
PANTONE 10386 C	90	80	82
PANTONE 10387 C	77	67	69
PANTONE 10449 C	183	186	180
PANTONE 10450 C	170	173	173
PANTONE 10451 C	115	115	112
PANTONE 10452 C	99	100	103
PANTONE 10453 C	86	91	95
PANTONE 10454 C	74	75	75
PANTONE 10388 C	140	144	147
PANTONE 10389 C	123	128	133
PANTONE 10390 C	107	113	117
PANTONE 10391 C	91	97	102
PANTONE 10392 C	78	84	88
PANTONE 10393 C	65	71	75
PANTONE 10394 C	126	123	121
PANTONE 10395 C	110	108	105
PANTONE 10396 C	95	92	88
PANTONE 10397 C	80	77	74
PANTONE 10398 C	67	64	61
PANTONE 10399 C	54	52	50
PANTONE 871 C	137	118	75
PANTONE 872 C	137	115	76
PANTONE 873 C	140	113	76
PANTONE 874 C	137	108	76
PANTONE 875 C	140	106	81
PANTONE 876 C	143	101	77
PANTONE 877 C	141	144	147
PANTONE 8001 C	140	139	137
PANTONE 8002 C	139	132	124
PANTONE 8003 C	139	128	117
PANTONE 8004 C	137	122	105
PANTONE 8005 C	135	113	90
PANTONE 8006 C	136	113	87
PANTONE 8020 C	155	136	123
PANTONE 8021 C	159	129	112
PANTONE 8022 C	168	115	87
PANTONE 8023 C	170	100	67
PANTONE 8024 C	173	91	47
PANTONE 8025 C	169	82	37
PANTONE 8040 C	149	144	141
PANTONE 8041 C	156	132	124
PANTONE 8042 C	158	123	113
PANTONE 8043 C	165	110	96
PANTONE 8044 C	165	95	73
PANTONE 8045 C	162	88	64
PANTONE 8060 C	152	133	141
PANTONE 8061 C	155	121	131
PANTONE 8062 C	159	109	121
PANTONE 8063 C	164	95	108
PANTONE 8064 C	161	91	98
PANTONE 8065 C	157	84	86
PANTONE 8080 C	149	137	149
PANTONE 8081 C	154	113	143
PANTONE 8082 C	156	98	139
PANTONE 8083 C	160	78	133
PANTONE 8084 C	163	59	116
PANTONE 8085 C	161	46	100
PANTONE 8100 C	147	126	150
PANTONE 8101 C	146	109	147
PANTONE 8102 C	145	96	144
PANTONE 8103 C	145	75	139
PANTONE 8104 C	149	57	125
PANTONE 8105 C	143	44	106
PANTONE 8120 C	144	136	152
PANTONE 8121 C	141	125	150
PANTONE 8122 C	137	108	147
PANTONE 8123 C	138	90	148
PANTONE 8124 C	139	76	132
PANTONE 8125 C	134	69	118
PANTONE 8140 C	135	124	151
PANTONE 8141 C	128	112	150
PANTONE 8142 C	122	95	151
PANTONE 8143 C	112	78	148
PANTONE 8144 C	116	79	131
PANTONE 8145 C	110	70	117
PANTONE 8160 C	138	139	153
PANTONE 8161 C	127	127	152
PANTONE 8162 C	105	99	153
PANTONE 8163 C	94	84	155
PANTONE 8164 C	90	75	145
PANTONE 8165 C	84	66	136
PANTONE 8180 C	135	144	154
PANTONE 8181 C	106	127	157
PANTONE 8182 C	83	114	159
PANTONE 8183 C	59	100	161
PANTONE 8184 C	41	87	146
PANTONE 8185 C	38	78	131
PANTONE 8200 C	121	143	155
PANTONE 8201 C	103	137	156
PANTONE 8202 C	81	130	158
PANTONE 8203 C	44	122	161
PANTONE 8204 C	58	118	142
PANTONE 8205 C	54	111	130
PANTONE 8220 C	117	143	154
PANTONE 8221 C	99	140	157
PANTONE 8222 C	72	137	161
PANTONE 8223 C	35	130	161
PANTONE 8224 C	0	119	142
PANTONE 8225 C	0	109	126
PANTONE 8240 C	134	147	151
PANTONE 8241 C	102	142	152
PANTONE 8242 C	79	140	154
PANTONE 8243 C	43	135	153
PANTONE 8244 C	59	128	132
PANTONE 8245 C	54	122	123
PANTONE 8260 C	121	144	147
PANTONE 8261 C	106	142	145
PANTONE 8262 C	82	137	140
PANTONE 8263 C	48	132	134
PANTONE 8264 C	40	121	116
PANTONE 8265 C	24	110	100
PANTONE 8280 C	127	150	149
PANTONE 8281 C	112	149	146
PANTONE 8282 C	94	149	143
PANTONE 8283 C	65	151	141
PANTONE 8284 C	83	142	125
PANTONE 8285 C	76	139	114
PANTONE 8300 C	131	150	140
PANTONE 8301 C	118	150	132
PANTONE 8302 C	104	151	124
PANTONE 8303 C	85	150	112
